DateKey,Date,CompanyName,Ticker,Market,Currency,Open,Close,High,Low,Volume
20180102,2018-01-02,Microsoft,MSFT,NASDAQ,USD,79.64060520401063,79.47416687011719,79.80704353790408,79.0580745626657,22483800
20180103,2018-01-03,Microsoft,MSFT,NASDAQ,USD,79.57588884479189,79.84403991699219,79.99198825526754,79.49267319543578,26061400
20180104,2018-01-04,Microsoft,MSFT,NASDAQ,USD,80.06593563278037,80.54676055908203,81.05532402833124,80.04744562233644,21912000
20180105,2018-01-05,Microsoft,MSFT,NASDAQ,USD,81.05534363347391,81.54541015625,81.74883559315292,80.8426696618304,23407100
20180108,2018-01-08,Microsoft,MSFT,NASDAQ,USD,81.5546421727971,81.62861633300781,81.90601590651588,80.99985008034515,22113000
20180109,2018-01-09,Microsoft,MSFT,NASDAQ,USD,81.9707376500693,81.57313537597656,82.04471180677582,81.24025872536107,19484300
20180110,2018-01-10,Microsoft,MSFT,NASDAQ,USD,81.24023413747138,81.2032470703125,81.54537215061087,80.82414197741697,18652200
20180111,2018-01-11,Microsoft,MSFT,NASDAQ,USD,81.48990836413721,81.44367980957031,81.48990836413721,80.66696531447342,17808900
20180112,2018-01-12,Microsoft,MSFT,NASDAQ,USD,81.98922150424957,82.84915161132812,83.0155899241357,81.7857961158666,24271500
20180116,2018-01-16,Microsoft,MSFT,NASDAQ,USD,83.31149187707643,81.69334411621094,83.94950668024973,81.37896450886227,36599700
20180117,2018-01-17,Microsoft,MSFT,NASDAQ,USD,82.36834725202438,83.34848022460938,83.47793148308043,82.0632091193864,25621200
20180118,2018-01-18,Microsoft,MSFT,NASDAQ,USD,83.03409278619093,83.31148529052734,83.83853880878675,82.90464153992117,24159700
20180119,2018-01-19,Microsoft,MSFT,NASDAQ,USD,83.34845298618569,83.21900177001953,83.7830422352702,82.90462226063376,36875000
20180122,2018-01-22,Microsoft,MSFT,NASDAQ,USD,83.21901400673879,84.70771026611328,84.71695879850284,82.97860154655272,23601600
20180123,2018-01-23,Microsoft,MSFT,NASDAQ,USD,84.9758529663086,84.9758529663086,85.34571662555797,84.64297637844041,23412800
20180124,2018-01-24,Microsoft,MSFT,NASDAQ,USD,85.5768954405483,84.90189361572266,86.39058998901422,84.67997820333446,33277500
20180125,2018-01-25,Microsoft,MSFT,NASDAQ,USD,85.50291773142604,85.37346649169922,86.21489954992353,85.00360278338111,26383200
20180126,2018-01-26,Microsoft,MSFT,NASDAQ,USD,86.10393488834109,86.97310638427734,86.97310638427734,85.60462000111168,29172200
20180129,2018-01-29,Microsoft,MSFT,NASDAQ,USD,87.9717472168799,86.84366607666016,88.25838824102759,86.65873774906103,31569900
20180130,2018-01-30,Microsoft,MSFT,NASDAQ,USD,86.27037544050832,85.7525634765625,86.60325204070105,85.16078442167824,38635100
20180131,2018-01-31,Microsoft,MSFT,NASDAQ,USD,86.6864714601148,87.8515396118164,88.21215476872544,86.46455606845457,48756300
20180201,2018-02-01,Microsoft,MSFT,NASDAQ,USD,87.64811694219816,87.15805053710938,88.83167514042691,86.52928436247993,47227900
20180202,2018-02-02,Microsoft,MSFT,NASDAQ,USD,86.5847744092254,84.86491394042969,86.8899125369779,84.60601142763281,47867800
20180205,2018-02-05,Microsoft,MSFT,NASDAQ,USD,83.73682163946796,81.36970520019531,86.21489930729281,81.36970520019531,51031500
